iter	Passed	Remaining
155	320	1736
156	322	1732
157	324	1727
158	325	1723
159	327	1719
160	331	1726
161	332	1722
162	334	1718
163	336	1714
164	339	1716
165	340	1713
166	342	1709
167	344	1705
168	346	1701
169	347	1698
170	349	1694
171	351	1691
172	353	1687
173	354	1682
174	356	1678
175	357	1674
176	359	1671
177	361	1667
178	362	1663
179	364	1659
180	366	1656
181	367	1652
182	369	1649
183	371	1645
184	372	1642
185	374	1639
186	376	1636
187	378	1632
188	379	1629
189	381	1626
190	383	1623
191	384	1619
192	386	1616
193	388	1612
194	389	1609
195	391	1607
196	393	1604
197	395	1600
198	397	1598
199	398	1595
200	400	1592
201	402	1589
202	404	1586
203	405	1583
204	407	1580
205	409	1577
206	411	1574
207	412	1572
208	414	1569
209	416	1565
210	417	1561
211	419	1558
212	422	1560
213	424	1557
214	425	1554
215	427	1552
216	429	1548
217	430	1545
218	436	1556
219	438	1553
220	440	1551
221	442	1549
222	444	1547
223	448	1552
224	450	1550
225	452	1549
226	454	1546
227	456	1544
228	458	1542
229	462	1547
230	464	1545
231	466	1543
232	467	1540
233	469	1538
234	471	1535
235	473	1533
236	475	1531
237	477	1528
238	479	1527
239	481	1524
240	483	1521
241	485	1519
242	486	1516
243	488	1514
244	490	1511
245	492	1509
246	494	1506
247	496	1504
248	498	1502
249	499	1499
250	501	1497
251	503	1495
252	505	1493
253	507	1490
254	509	1488
255	511	1485
256	513	1483
257	515	1481
258	517	1479
259	519	1477
260	521	1476
261	523	1473
262	525	1472
263	527	1469
264	529	1467
265	530	1464
266	532	1462
267	534	1460
268	536	1457
269	538	1456
270	540	1454
271	542	1452
272	544	1450
273	546	1447
274	548	1445
275	551	1445
276	553	1444
277	555	1442
278	557	1440
279	559	1438
280	561	1436
281	563	1434
282	565	1432
283	567	1430
284	569	1428
285	571	1426
286	573	1424
287	575	1422
288	577	1420
289	578	1417
290	580	1415
291	582	1413
292	584	1410
293	586	1408
294	588	1405
295	590	1403
296	591	1400
297	593	1398
298	595	1396
299	597	1394
300	599	1391
301	601	1389
302	603	1387
303	605	1385
304	607	1384
305	609	1382
306	611	1380
307	613	1377
308	615	1375
309	617	1373
310	619	1371
311	621	1369
312	623	1367
313	625	1366
314	627	1364
315	629	1362
316	631	1359
317	633	1358
318	635	1356
319	637	1354
320	639	1351
321	641	1350
322	643	1348
323	645	1346
324	647	1343
325	648	1341
326	650	1339
327	652	1337
328	654	1335
329	656	1333
330	658	1331
331	660	1329
332	662	1327
333	664	1325
334	666	1323
335	668	1321
336	670	1319
337	672	1316
338	674	1314
339	676	1312
340	678	1310
341	680	1308
342	682	1306
343	683	1304
344	685	1302
345	688	1300
346	689	1298
347	691	1296
348	693	1294
349	695	1291
350	697	1290
351	700	1290
352	702	1287
353	704	1285
354	706	1283
355	708	1281
356	710	1279
357	712	1277
358	714	1275
359	716	1273
360	718	1271
361	720	1269
362	722	1267
363	724	1265
364	725	1262
365	728	1261
366	730	1259
367	731	1256
368	733	1254
369	735	1252
370	737	1250
371	739	1248
372	741	1246
373	743	1244
374	745	1242
375	749	1243
376	751	1241
377	752	1238
378	755	1237
379	757	1235
380	758	1233
381	760	1230
382	762	1229
383	764	1226
384	766	1224
385	768	1222
386	770	1221
387	772	1219
388	774	1216
389	776	1214
390	778	1212
391	780	1210
392	782	1208
393	784	1206
394	786	1204
395	788	1202
396	790	1200
397	792	1198
398	794	1196
399	796	1194
400	798	1192
401	800	1190
402	802	1188
403	804	1186
404	806	1184
405	808	1182
406	809	1180
407	811	1178
408	813	1176
409	815	1173
410	817	1172
411	820	1170
412	821	1168
413	823	1166
414	825	1164
415	827	1162
416	829	1160
417	831	1158
418	833	1155
419	835	1154
420	837	1151
421	839	1149
422	841	1147
423	843	1145
424	845	1143
425	847	1141
426	849	1139
427	851	1137
428	853	1135
429	854	1133
430	856	1131
431	858	1129
432	860	1127
433	862	1125
434	864	1123
435	866	1120
436	869	1119
437	871	1117
438	873	1115
439	875	1113
440	877	1111
441	879	1110
442	881	1108
443	883	1106
444	885	1104
445	887	1101
446	889	1099
447	891	1097
448	893	1095
449	895	1094
450	897	1092
451	899	1090
452	901	1088
453	903	1086
454	905	1084
455	907	1082
456	909	1080
457	911	1078
458	913	1076
459	915	1074
460	917	1072
461	919	1070
462	921	1068
463	923	1066
464	925	1064
465	927	1062
466	929	1061
467	931	1059
468	934	1058
469	936	1056
470	938	1054
471	940	1052
472	942	1050
473	944	1048
474	946	1046
475	948	1044
476	950	1041
477	952	1040
478	954	1037
479	956	1036
480	958	1034
481	960	1031
482	962	1029
483	964	1027
484	966	1025
485	968	1023
486	970	1021
487	972	1019
488	974	1017
489	975	1015
490	978	1013
491	980	1011
492	981	1009
493	983	1007
494	985	1005
495	987	1003
496	989	1001
497	991	999
498	994	998
499	995	995
500	997	994
501	999	991
502	1001	989
503	1003	987
504	1005	985
505	1007	983
506	1009	981
507	1011	979
508	1013	977
509	1016	976
510	1018	974
511	1020	972
512	1023	971
513	1025	969
514	1029	969
515	1031	967
516	1033	965
517	1035	963
518	1037	961
519	1039	959
520	1041	957
521	1043	955
522	1045	953
523	1047	951
524	1049	949
525	1051	947
526	1053	945
527	1055	943
528	1057	941
529	1059	939
530	1061	937
531	1063	935
532	1065	933
533	1067	931
534	1069	929
535	1071	927
536	1073	925
537	1075	923
538	1077	921
539	1079	919
540	1081	917
541	1083	915
542	1085	913
543	1087	911
544	1089	909
545	1091	907
546	1093	905
547	1095	903
548	1097	901
549	1099	899
550	1101	897
551	1105	896
552	1107	894
553	1109	892
554	1111	890
555	1112	888
556	1114	886
557	1116	884
558	1118	882
559	1120	880
560	1122	878
561	1124	876
562	1127	874
563	1130	874
564	1132	871
565	1134	869
566	1136	867
567	1138	865
568	1140	863
569	1142	861
570	1144	859
571	1146	857
572	1149	856
573	1151	854
574	1153	852
575	1155	850
576	1157	848
577	1161	847
578	1163	845
579	1165	843
580	1167	841
581	1169	839
582	1171	837
583	1173	835
584	1174	833
585	1176	831
586	1178	829
587	1180	827
588	1182	825
589	1184	823
590	1186	821
591	1188	818
592	1190	816
593	1192	814
594	1194	812
595	1196	810
596	1197	808
597	1199	806
598	1201	804
599	1204	802
600	1206	800
601	1208	798
602	1210	796
603	1212	794
604	1214	792
605	1216	790
606	1218	789
607	1220	786
608	1224	785
609	1226	783
610	1228	781
611	1230	779
612	1232	778
613	1234	775
614	1236	773
615	1238	771
616	1240	769
617	1242	767
618	1244	765
619	1245	763
620	1247	761
621	1250	759
622	1252	757
623	1253	755
624	1255	753
625	1257	751
626	1259	749
627	1261	747
628	1263	745
629	1265	743
630	1267	741
631	1269	739
632	1271	737
633	1273	735
634	1275	733
635	1277	730
636	1279	728
637	1281	726
638	1283	724
639	1285	723
640	1287	721
641	1289	719
642	1291	717
643	1293	714
644	1295	713
645	1297	710
646	1299	708
647	1301	706
648	1303	704
649	1305	702
650	1307	700
651	1309	698
652	1311	696
653	1313	694
654	1315	692
655	1317	690
656	1319	688
657	1321	686
658	1323	684
659	1325	682
660	1327	680
661	1329	678
662	1331	676
663	1333	674
664	1334	672
665	1337	670
666	1339	668
667	1340	666
668	1343	664
669	1345	662
670	1347	660
671	1349	658
672	1351	656
673	1353	654
674	1355	652
675	1357	650
676	1358	648
677	1361	646
678	1362	644
679	1365	642
680	1367	640
681	1369	638
682	1371	636
683	1373	634
684	1375	632
685	1376	630
686	1378	628
687	1380	626
688	1382	624
689	1384	622
690	1387	620
691	1388	618
692	1390	616
693	1393	614
694	1395	612
695	1397	610
696	1399	608
697	1401	606
698	1403	604
699	1405	602
700	1407	600
701	1409	598
702	1411	596
703	1413	594
704	1415	592
705	1417	590
706	1418	588
707	1420	586
708	1424	584
709	1425	582
710	1427	580
711	1429	578
712	1431	576
713	1433	574
714	1435	572
715	1438	570
716	1440	568
717	1442	566
718	1444	564
719	1446	562
720	1448	560
721	1450	558
722	1452	556
723	1454	554
724	1456	552
725	1458	550
726	1460	548
727	1462	546
728	1464	544
729	1466	542
730	1468	540
731	1470	538
732	1472	536
733	1474	534
734	1476	532
735	1478	530
736	1480	528
737	1482	526
738	1484	524
739	1486	522
740	1489	520
741	1491	518
742	1493	516
743	1496	515
744	1498	512
745	1500	510
746	1502	508
747	1504	506
748	1506	504
749	1508	502
750	1511	501
751	1513	499
752	1515	497
753	1517	495
754	1519	493
755	1521	491
756	1523	489
757	1525	487
758	1527	485
759	1529	482
760	1531	480
761	1535	479
762	1537	477
763	1538	475
764	1540	473
765	1542	471
766	1545	469
767	1546	467
768	1549	465
769	1550	463
770	1553	461
771	1554	459
772	1556	457
773	1558	455
774	1560	453
775	1562	451
776	1564	449
777	1566	447
778	1568	445
779	1570	442
780	1572	440
781	1574	438
782	1576	436
783	1578	434
784	1580	432
785	1582	430
786	1583	428
787	1585	426
788	1587	424
789	1589	422
790	1591	420
791	1593	418
792	1595	416
793	1597	414
794	1599	412
795	1601	410
796	1603	408
797	1605	406
798	1607	404
799	1609	402
800	1611	400
801	1613	398
802	1615	396
803	1617	394
804	1619	392
805	1621	390
806	1623	388
807	1625	386
808	1627	384
809	1628	382
810	1631	380
811	1633	378
812	1635	376
813	1637	374
814	1639	372
815	1641	370
816	1643	368
817	1644	365
818	1646	363
819	1648	361
820	1650	359
821	1652	357
822	1654	355
823	1656	353
824	1658	351
825	1660	349
826	1662	347
827	1664	345
828	1666	343
829	1667	341
830	1669	339
831	1672	337
832	1674	335
833	1676	333
834	1678	331
835	1680	329
836	1682	327
837	1684	325
838	1686	323
839	1688	321
840	1690	319
841	1692	317
842	1694	315
843	1696	313
844	1698	311
845	1706	310
846	1710	308
847	1712	306
848	1714	305
849	1716	302
850	1719	301
851	1721	299
852	1723	297
853	1725	295
854	1727	293
855	1729	291
856	1731	288
857	1733	286
858	1735	284
859	1737	282
860	1739	280
861	1741	278
862	1743	276
863	1745	274
864	1747	272
865	1749	270
866	1752	268
867	1754	266
868	1756	264
869	1758	262
870	1760	260
871	1762	258
872	1764	256
873	1766	254
874	1768	252
875	1770	250
876	1772	248
877	1774	246
878	1776	244
879	1778	242
880	1782	240
881	1784	238
882	1786	236
883	1789	234
884	1791	232
885	1793	230
886	1795	228
887	1797	226
888	1799	224
889	1801	222
890	1803	220
891	1805	218
892	1807	216
893	1809	214
894	1811	212
895	1813	210
896	1815	208
897	1817	206
898	1819	204
899	1821	202
900	1823	200
901	1825	198
902	1827	196
903	1829	194
904	1831	192
905	1833	190
906	1835	188
907	1837	186
908	1839	184
909	1841	182
910	1843	180
911	1845	178
912	1847	176
913	1849	173
914	1851	171
915	1853	169
916	1855	167
917	1857	165
918	1859	163
919	1861	161
920	1863	159
921	1864	157
922	1866	155
923	1868	153
924	1871	151
925	1873	149
926	1874	147
927	1880	145
928	1886	144
929	1889	142
930	1892	140
931	1895	138
932	1899	136
933	1902	134
934	1907	132
935	1909	130
936	1912	128
937	1914	126
938	1916	124
939	1918	122
940	1920	120
941	1922	118
942	1924	116
943	1926	114
944	1928	112
945	1930	110
946	1932	108
947	1934	106
948	1936	104
949	1938	102
950	1940	99
951	1942	97
952	1943	95
953	1945	93
954	1948	91
955	1950	89
956	1952	87
957	1954	85
958	1956	83
959	1959	81
960	1961	79
961	1962	77
962	1964	75
963	1967	73
964	1969	71
965	1971	69
966	1973	67
967	1975	65
968	1977	63
969	1979	61
970	1981	59
971	1983	57
972	1985	55
973	1987	53
974	1989	51
975	1992	48
976	1994	46
977	1996	44
978	1998	42
979	2000	40
980	2002	38
981	2004	36
982	2006	34
983	2008	32
984	2010	30
985	2012	28
986	2014	26
987	2018	24
988	2020	22
989	2021	20
990	2023	18
991	2026	16
992	2027	14
993	2029	12
994	2031	10
995	2033	8
996	2035	6
997	2037	4
998	2039	2
999	2041	0
